Unnamed: 0,name,address,lat,lon
111,,5400 Seminole Blvd FL 33772,27.82185,-82.7873
112,,6155 113th St FL 33772,27.82839,-82.79425
113,,13400 Park Blvd FL 33776,27.84319,-82.82472
114,,11025 131st St FL 33774,27.87337,-82.81937
115,,9399 Commodore Dr FL 33776,27.85787,-82.83478
116,,11220 Oakhurst Rd FL 33774,27.87529,-82.83343
117,,11909 125th St FL 33774,27.88125,-82.81074
118,,12855 110th Ave FL 33774,27.87341,-82.81666
119,,10891 102nd Ave FL 33778,27.8656,-82.78987
120,,11803 104th St FL 33773,27.87926,-82.78135
121,,13301 Walsingham Rd FL 33774,27.88098,-82.82241
122,,12520 Ulmerton Rd FL 33774,27.88382,-82.8107
123,,13233 Indian Rocks Rd FL 33774,27.89263,-82.83074
124,,1801 119th St FL 33778,27.90032,-82.80275
125,,1800 Seminole Blvd FL 33778,27.90485,-82.79268
126,,901 Seminole Blvd FL 33770,27.90665,-82.7859
127,,295 Central Park Dr FL 33771,27.91328,-82.78492
128,,1100 S Belcher Rd FL 33771,27.90755,-82.7463
129,,14300 66th St N FL 33764,27.90274,-82.73168
130,,5812 150th Ave N FL 33760,27.90846,-82.71326
131,,4825 East Bay Dr FL 33764,27.91562,-82.73691
132,,601 Starkey Rd FL 33771,27.91383,-82.76236
133,,1685 S Belcher Rd FL 33764,27.93529,-82.74444
134,,1199 Highland Ave FL 33770,27.92842,-82.77541
135,,1698 S Belcher Rd FL 33764,27.93527,-82.74706
136,,1885 S Highland Ave FL 33756,27.92876,-82.77367
137,,3115 Dryer Ave FL 33770,27.90293,-82.81862
138,,2747 Sunset Blvd FL 33770,27.91907,-82.81688
139,,1150 8th Ave SW FL 33770,27.91072,-82.80043
140,,901 Ponce de Leon Blvd FL 33756,27.93486,-82.80421
141,,9200 113th St FL 33772,27.85866,-82.79643
142,,1430 Belleair Rd FL 33756,27.94003,-82.77777
143,,1271 Pinellas Bayway S FL 33715,27.67466,-82.72479
144,,1500 Pass-A-Grille Way FL 33706,27.69306,-82.73619
145,,7701 Boca Ciega Dr FL 33706,27.74501,-82.74938
146,,1 Park Pl FL 33706,27.76747,-82.76778
147,,300 Municipal Dr FL 33708,27.80446,-82.80194
148,,105 164th Ave FL 33708,27.81457,-82.8178
149,,190 173rd Ave FL 33708,27.82273,-82.82495
150,,17425 Gulf Blvd FL 33708,27.81361,-82.81812
151,,19305 Gulf Blvd FL 33785,27.84793,-82.84248
152,,1507 Bay Palm Blvd FL 33785,27.89789,-82.84562
153,,444 Causeway Blvd FL 33786,27.91719,-82.84155
154,,1426 S Ml King Jr Ave FL 33756,27.9453,-82.79314
155,,1445 Lakeview Rd FL 33756,27.9492,-82.77709
156,,1676 S Belcher Rd FL 33764,27.93627,-82.74667
157,,1875 Nursery Rd FL 33764,27.94174,-82.76004
158,,2299 Drew St FL 33765,27.96693,-82.74268
159,,2039 Druid Rd E FL 33764,27.95659,-82.75271
160,,1200 S Keene Rd FL 33756,27.95202,-82.76321
161,,2001 Rainbow Dr FL 33765,27.96199,-82.75397
162,,407 S Staurn Ave FL 33755,27.96094,-82.76442
163,,820 Jasmine Way FL 33756,27.95602,-82.7955
164,,1001 Gulf Blvd FL 33767,27.9551,-82.82674
165,,69 Bay Esplanade FL 33767,27.98465,-82.82518
166,,245 Dory Passage FL 33767,27.97891,-82.8182
167,,900 N ML King Jr Ave FL 33755,27.97448,-82.7926
168,,1260 Engman St FL 33755,27.97884,-82.78504
169,,1521 N Saturn Ave FL 33755,27.98314,-82.76344
170,,714 N Saturn Ave FL 33755,27.9735,-82.7661
171,,2010 Greenbriar Blvd FL 33763,28.0053,-82.7557
172,,1625 N Belcher Rd FL 33765,27.98188,-82.74466
173,,2069 World Parkway Blvd FL 33763,27.9964,-82.73788
174,,2291 World Parkway Blvd W FL 33763,27.99905,-82.74318
175,,2281 State Road 580 FL 33763,28.01866,-82.745
176,,885 Lake Haven Rd FL 34698,28.01602,-82.76906
177,,2289 N Hercules Ave FL 33763,28.00426,-82.75414
178,,700 Mease Plaza FL 34698,28.01457,-82.7806
179,,2897 Belcher Rd FL 34698,28.02609,-82.74611
180,,29250 Us Highway 19 N FL 33761,28.03832,-82.74097
181,,1289 Michigan Blvd FL 34698,28.03725,-82.76817
182,,1620 Pinehurst Rd FL 34698,28.02741,-82.77218
