Unnamed: 0,name,address,lat,lon
1,,7508 Jennings Way FL 34951,27.52332,-80.40109
2,,600 N Indian River Dr FL 34950,27.45398,-80.32364
3,,2001 SE Walton Rd FL 34952,27.29969,-80.28993
4,,4590 Oleander Ave FL 34982,27.38016,-80.33354
5,,2000 Virginia Ave FL 34982,27.42637,-80.34491
6,,3215 Avenue Q FL 34982,27.46524,-80.35748
7,,10820 S Ocean Dr FL 34957,27.26724,-80.20318
8,,1717 Gulfstream Ave FL 34949,27.46125,-80.29236
9,,1405 N 27th St FL 34947,27.46244,-80.35235
10,,1306 Avenue M FL 34950,27.46217,-80.33817
11,,2000 Virgina Ave FL 34982,27.42637,-80.34491
12,,157 Camino Del Rio FL 34952,27.31683,-80.32117
13,,1 Silver Oak Dr FL 34952,27.31701,-80.3102
14,,2501 SW Bayshore Blvd FL 34984,27.26623,-80.35073
15,,295 NW Prima Vista Blvd FL 34983,27.31865,-80.35438
16,,3224 S U S HWY FL 34982,27.40698,-80.32514
17,,2195 SE Airoso Blvd FL 34984,27.2753,-80.34103
18,,4132 Okeechobee Rd FL 34947,27.42723,-80.36903
19,,100 Cyclone Dr FL 34945,27.44853,-80.45469
20,,6200 Neuvo Lagos FL 34951,27.54751,-80.46676
21,,1800 Golden Pond Dr FL 34945,27.46546,-80.4263
22,,200 SW Prima Vista Blvd FL 34983,27.31761,-80.34453
23,,2240 SE Walton Rd FL 34952,27.29818,-80.28302
24,,3201 SW Landale Blvd FL 34953,27.24714,-80.36476
25,,100 W Caribbean FL 34952,27.30397,-80.29485
26,,1 Las Casitas FL 34951,27.54761,-80.38574
27,,3212 Oleander Ave FL 34982,27.40623,-80.33348
28,,451 SW Ravenswood Ln FL 34983,27.31571,-80.35068
29,,2401 SE Sidonia St FL 34983,27.27051,-80.30342
30,,9200 One Putt Pl FL 34986,27.29875,-80.41773
31,,1420 SE Floresta Dr FL 34983,27.2956,-80.32708
32,,1390 SW Dorchester St FL 34983,27.2975,-80.36078
33,,490 SW Kentwood Rd FL 34953,27.25241,-80.35549
34,,765 SW Dalton Cir FL 34953,27.26323,-80.37013
35,,750 SW Darwin Blvd FL 34953,27.24628,-80.37104
36,,1150 SW California Blvd FL 34953,27.27762,-80.38374
37,,5405 Turnpike Feeder Rd FL 34951,27.53268,-80.38987
38,,2101 SE Tiffany Ave FL 34952,27.29375,-80.28976
39,,200 SW Prima Vista Blv FL 34983,27.31761,-80.34453
40,,2501 N Old Dixie HWY FL 34946,27.48122,-80.338
41,,12600 Harbour Ridge Blvd FL 34990,27.23179,-80.30582
42,,201 SE Becker Rd FL 34984,27.2106,-80.33006
43,,555 SW Cashmere Blvd FL 34986,27.30612,-80.3825
44,,6680 NW Selvitz Rd FL 34983,27.34439,-80.36853
45,,1885 SW Del Rio Blvd FL 34953,27.28894,-80.40553
46,,3700 SE Jennings Rd FL 34952,27.28025,-80.28968
47,,3492 Crabapple Dr FL 34952,27.31647,-80.28914
48,,3040 W Midway Rd FL 34981,27.37529,-80.3563
49,,450 NE Lazy River Pkwy FL 34983,27.34195,-80.34746
50,,2199 SW Savona Blvd FL 34953,27.27692,-80.38548
51,,500 NW California Blv FL 34986,27.32525,-80.3985
52,,477 SW Cashmere Blvd FL 34986,27.3109,-80.37928
53,,10799 SW Civic Ln FL 34987,27.26837,-80.43304
54,,3300 N A1A FL 34949,27.49551,-80.30054
55,,6200 Nuevo Lagos FL 34951,27.54751,-80.46676
