geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
12115000101,115,0.03402,0,0.88273,0,0.19611,0,0.14087,0,0.02253,1,0.00586,1,0.07952,0,0.02929,1,0.87835,0,0.01214,0,0.0,1,0.04521,0.01101,4255,3.24166,1312.59756,0.74087,0.71654,0.67546,0.6781
12115000102,115,0.09851,1,0.82413,0,0.08134,0,0.18156,0,0.07559,0,0.0078,1,0.10938,0,0.21594,0,0.62032,0,0.01066,0,0.0,1,0.07874,0.00659,4664,2.42806,1920.87591,0.68894,0.60552,0.71086,0.5909
12115000200,115,0.1006,0,0.80672,0,0.14637,0,0.28753,0,0.13411,0,0.0115,1,0.33209,0,0.14862,0,0.46108,0,0.01203,0,0.06929,0,0.01822,0.01056,5257,3.8461,1366.84039,0.62331,0.55799,0.6596,0.52052
12115000300,115,0.03916,1,0.75524,0,0.13619,0,0.4318,0,0.11506,0,0.00026,1,0.78975,0,0.1216,0,0.07035,0,0.00832,0,0.26262,0,0.00307,0.00583,3851,2.10051,1833.36544,0.62323,0.54557,0.70694,0.51548
12115000401,115,0.13735,0,0.90272,0,0.10228,0,0.10727,0,0.0595,0,0.01042,1,0.12271,0,0.20213,0,0.63626,0,0.00902,0,0.10183,0,0.01097,0.00879,3880,2.82011,1375.83344,0.58109,0.5421,0.71929,0.48575
12115000404,115,0.04312,1,0.96324,0,0.10448,0,0.04678,1,0.01316,1,0.01243,1,0.0095,1,0.08114,1,0.89254,0,0.00373,0,0.17372,0,0.00072,0.00319,1215,1.18628,1024.21142,0.62509,0.58982,0.58333,0.45455
12115000405,115,0.14903,0,0.93777,0,0.10064,0,0.1997,0,0.06978,0,0.0,1,0.02475,1,0.21554,0,0.7508,0,0.00852,0,0.23621,0,0.00201,0.00674,2972,1.99269,1491.45243,0.63667,0.60456,0.91131,0.5109
12115000406,115,0.24132,0,0.94531,0,0.07568,1,0.24443,0,0.0439,0,0.0,1,0.0564,1,0.40289,0,0.52959,0,0.00656,0,0.21676,0,0.0058,0.00674,3043,2.04281,1489.61729,0.53106,0.60391,0.50396,0.46373
12115000407,115,0.19323,0,0.94529,0,0.0903,0,0.16785,0,0.10898,0,0.051,1,0.05255,1,0.31737,0,0.57908,0,0.00784,0,0.33312,0,0.00354,0.00559,3744,2.00302,1869.17433,0.61393,0.57981,0.59234,0.46109
12115000501,115,0.0,1,0.97317,0,0.04901,0,0.11205,0,0.02683,1,0.01118,1,0.00447,1,0.03354,1,0.9374,0,0.00449,0,0.0,1,0.05819,0.00458,1720,1.95054,881.80872,0.74247,0.68097,0.72219,0.69329
12115000502,115,0.08189,0,0.95089,0,0.06962,0,0.08117,0,0.05732,0,0.01961,1,0.03861,1,0.14419,0,0.781,0,0.00733,0,0.0,1,0.01766,0.00834,3408,2.43953,1396.9877,0.62129,0.60002,0.65522,0.47735
12115000503,115,0.10661,0,0.85313,0,0.09209,0,0.12463,0,0.08965,0,0.00527,1,0.03192,1,0.15848,0,0.796,0,0.00852,0,0.12806,0,0.01178,0.00839,3950,2.59381,1522.85654,0.62737,0.63725,0.68862,0.51226
12115000601,115,0.03151,1,0.984,0,0.04198,1,0.07036,0,0.03882,0,0.0275,1,0.00809,1,0.04812,1,0.89284,0,0.00561,0,0.06068,0,0.00652,0.00568,2139,2.73806,781.2108,0.66912,0.70177,0.72207,0.64393
12115000602,115,0.03277,1,0.98372,0,0.05563,0,0.11147,0,0.03167,0,0.0314,1,0.01261,1,0.04428,0,0.88755,0,0.00869,0,0.00334,0,0.01169,0.01083,3727,2.90755,1281.83371,0.60141,0.71063,0.63908,0.51903
12115000700,115,0.02255,1,0.91488,0,0.08655,1,0.04811,0,0.00473,1,0.00655,1,0.0,1,0.03092,1,0.9578,0,0.00762,0,0.0,1,0.01686,0.00979,2756,19.44002,141.76938,0.64644,0.66688,0.69189,0.62581
12115000801,115,0.00978,1,0.96411,0,0.1066,0,0.04252,0,0.0,1,0.01857,1,0.0,1,0.0,1,0.96334,0,0.00566,0,0.04062,0,0.00455,0.00616,1894,7.77988,243.44842,0.66952,0.675,0.66667,0.68965
12115000802,115,0.02874,1,0.98501,0,0.08746,1,0.04009,0,0.0,1,0.02685,1,0.0,1,0.05219,1,0.92095,0,0.00753,0,0.04227,0,0.00261,0.00891,2596,12.03978,215.61857,0.66952,0.675,0.66667,0.68965
12115000900,115,0.04378,0,0.94449,0,0.07109,1,0.07017,0,0.08383,0,0.01191,1,0.01915,1,0.0566,1,0.91234,0,0.00602,0,0.02403,0,0.00608,0.00676,2344,20.21834,115.93433,0.62314,0.66525,0.48891,0.5802
12115001000,115,0.11289,0,0.92585,0,0.06985,0,0.22461,0,0.23703,0,0.03378,1,0.13243,0,0.16757,0,0.65946,0,0.00905,0,0.14855,0,0.00397,0.00734,3166,3.06021,1034.56856,0.60731,0.56124,0.50056,0.53296
12115001101,115,0.03442,0,0.93894,0,0.10005,0,0.12515,0,0.06741,0,0.00535,1,0.18854,0,0.14909,0,0.64354,0,0.01182,0,0.0,1,0.0202,0.01432,3984,9.32753,427.12294,0.62233,0.64122,0.71618,0.5405
12115001102,115,0.16815,0,0.96422,0,0.19302,0,0.271,0,0.08697,0,0.00364,1,0.24868,0,0.27331,0,0.4709,0,0.01164,0,0.36636,0,0.00218,0.0092,4872,3.07386,1584.97824,0.56083,0.64558,0.68718,0.4989
12115001201,115,0.06453,1,0.95512,0,0.092,0,0.05874,0,0.08731,0,0.01161,1,0.03134,0,0.16533,0,0.756,0,0.01769,0,0.35254,0,0.00573,0.01341,7129,7.75826,918.89123,0.63288,0.62732,0.59371,0.56986
12115001202,115,0.17733,0,0.99431,0,0.05955,0,0.17483,0,0.09427,0,0.00152,1,0.05291,0,0.37906,0,0.55781,0,0.00858,0,0.00222,0,0.00289,0.00939,3880,3.36722,1152.28634,0.6068,0.63643,0.66481,0.48655
12115001203,115,0.03733,1,0.94589,0,0.06032,1,0.01747,1,0.01979,1,0.0,1,0.00253,1,0.03613,1,0.96134,0,0.01099,0,0.3016,0,0.00314,0.00931,3994,5.96529,669.54015,0.65669,0.60522,0.51017,0.60061
12115001204,115,0.01241,1,0.87996,0,0.09009,0,0.10099,0,0.04553,0,0.02218,1,0.04973,1,0.11464,0,0.80107,0,0.01044,0,0.0,1,0.0093,0.01302,3954,7.60071,520.21447,0.64984,0.62225,0.60513,0.55717
12115001301,115,0.21057,0,0.96671,0,0.10358,0,0.06632,0,0.11158,0,0.04934,1,0.03673,1,0.17858,0,0.72666,0,0.00813,0,0.0,1,0.0124,0.01148,2814,5.32069,528.87882,0.64482,0.60653,0.6389,0.49979
12115001302,115,0.07181,0,0.93149,0,0.07611,0,0.05107,0,0.06319,0,0.02318,1,0.0,1,0.19249,0,0.77629,0,0.0097,0,0.0,1,0.02515,0.01085,3902,5.52129,706.7194,0.65478,0.62884,0.67218,0.52326
12115001303,115,0.0507,0,0.88207,0,0.04484,0,0.03121,1,0.05977,0,0.02548,1,0.0,1,0.11607,0,0.84083,0,0.00748,0,0.0,1,0.00908,0.01044,3175,3.61061,879.35246,0.65355,0.65667,0.67309,0.54569
12115001304,115,0.04146,1,0.9763,0,0.09036,0,0.03824,1,0.02807,0,0.0,1,0.0,1,0.07793,1,0.90416,0,0.00523,0,0.21405,0,0.00059,0.00501,1857,1.67172,1110.82884,0.63274,0.66655,0.77763,0.54858
12115001401,115,0.00944,1,0.98301,0,0.05924,0,0.07781,0,0.05454,0,0.03903,0,0.01491,1,0.05296,0,0.88571,0,0.01841,0,0.28831,0,0.02988,0.01474,7932,29.21591,271.4959,0.66586,0.61915,0.68135,0.63374
12115001402,115,0.05608,0,0.97919,0,0.05612,0,0.05127,0,0.10651,0,0.01866,1,0.02451,1,0.1,0,0.83883,0,0.0101,0,0.47524,0,0.00176,0.00645,4622,3.64913,1266.60156,0.62331,0.60967,0.68745,0.5417
12115001403,115,0.02559,1,0.98387,0,0.04978,1,0.05086,0,0.05603,0,0.01342,1,0.0,1,0.0432,1,0.92657,0,0.01657,0,0.0,1,0.00265,0.03089,6180,21.13874,292.35424,0.63375,0.60979,0.68348,0.5714
12115001503,115,0.1446,0,0.98019,0,0.0749,0,0.09029,0,0.06417,0,0.01159,1,0.0199,1,0.20529,0,0.73529,0,0.00677,0,0.22445,0,0.00098,0.00621,3179,1.86985,1700.1406,0.63191,0.60641,0.67121,0.55471
12115001504,115,0.05289,1,0.97117,0,0.10438,0,0.15604,0,0.10445,0,0.00737,1,0.0,1,0.13329,1,0.84748,0,0.00748,0,0.3187,0,0.00453,0.00587,2929,1.73848,1684.80528,0.62955,0.60078,0.67084,0.55582
12115001505,115,0.05508,1,0.96092,0,0.10664,0,0.06576,0,0.0951,0,0.01507,1,0.02283,1,0.16693,0,0.77344,0,0.00971,0,0.28427,0,0.00859,0.00759,4001,2.62587,1523.68811,0.65358,0.65667,0.67304,0.54571
12115001506,115,0.02459,0,0.91113,0,0.09823,0,0.13131,0,0.0538,0,0.03708,1,0.0121,1,0.10377,0,0.83193,0,0.01413,0,0.0,1,0.01712,0.01604,5622,6.2406,900.87501,0.68993,0.6215,0.66261,0.61912
12115001507,115,0.04696,0,0.97814,0,0.05422,0,0.07223,0,0.05792,0,0.00142,1,0.00897,1,0.08058,0,0.89849,0,0.01547,0,0.1097,0,0.00969,0.01297,6027,5.13058,1174.72145,0.69011,0.6202,0.66635,0.6234
12115001601,115,0.0311,0,0.97148,0,0.03795,0,0.1118,0,0.07843,0,0.02008,1,0.02144,1,0.06974,0,0.85427,0,0.00909,0,0.23375,0,0.00376,0.0086,3199,2.77021,1154.78516,0.63186,0.68753,0.72064,0.54104
12115001602,115,0.09887,0,0.96252,0,0.09848,0,0.09572,0,0.05344,0,0.04334,1,0.01781,1,0.17416,0,0.75432,0,0.00884,0,0.03931,0,0.00604,0.01012,3670,2.57059,1427.68893,0.60877,0.57772,0.64149,0.55645
12115001702,115,0.08036,0,0.91032,0,0.0779,0,0.0836,0,0.0599,0,0.00947,1,0.00326,1,0.10397,0,0.8833,0,0.01433,0,0.10065,0,0.02098,0.01313,5691,5.12894,1109.58573,0.67775,0.6235,0.66489,0.61427
12115001703,115,0.06046,0,0.88127,0,0.07437,0,0.17529,0,0.06404,0,0.0197,1,0.00174,1,0.13619,0,0.84005,0,0.00845,0,0.23748,0,0.0051,0.00701,3560,2.12565,1674.77928,0.59991,0.66049,0.57163,0.49741
12115001704,115,0.05975,0,0.95043,0,0.03546,0,0.10412,0,0.0788,0,0.01496,1,0.03356,1,0.1069,0,0.82342,0,0.00655,0,0.0,1,0.00277,0.0085,2979,2.57756,1155.7432,0.59986,0.66048,0.57149,0.49737
12115001801,115,0.03461,1,0.99302,0,0.1341,0,0.05546,0,0.04946,0,0.01172,1,0.0,1,0.08977,0,0.8785,0,0.00896,0,0.0,1,0.06303,0.01464,3667,5.78982,633.35344,0.64363,0.60864,0.68205,0.59405
12115001803,115,0.09694,0,0.96351,0,0.12912,0,0.20495,0,0.05355,1,0.02253,1,0.0,1,0.18796,0,0.78213,0,0.00605,0,0.21093,0,0.00112,0.00522,2772,2.06196,1344.35428,0.63737,0.58785,0.67644,0.60744
