name,address,lat,lon
,24845 Newberry Rd Newberry FL 32669-0000,29.64588,-82.60494
,1801 NW 5th Ave Gainesville FL 32603-1624,29.65551,-82.34574
,25420 W Newberry Rd Newberry FL 32669,29.64657,-82.6124
,404 NW 14th Ave Gainesville FL 32601-4215,29.66517,-82.32905
,6700 SE 221 St Hawthorne FL 32640-3816,29.59238,-82.08684
,20905 SE 219th Ave Island Grove FL 32654-0000,29.45359,-82.0988
,706 NE Cholokka Blvd Micanopy FL 32667-4113,29.50903,-82.27996
,16671 SW 137th Ave Archer FL 32618,29.52755,-82.51984
,3403 NW 13th St Gainesville FL 32609-2172,29.68402,-82.33858
,2505 NE 8th Ave Gainesville FL 32641-4808,29.65877,-82.29181
,5807 NE Hampton St Melrose FL 32666,29.70802,-82.05052
,918 SE County Road 234 Gainesville FL 32641-1306,29.64263,-82.18791
,4200 NW 97th Blvd Gainesville FL 32606-3742,29.69189,-82.45202
,2424 NW 23rd Blvd Gainesville FL 32605-2961,29.6745,-82.34735
,6221 SW 75th Ter Gainesville FL 32608-5611,29.59656,-82.42261
,120 SE Williston Rd Gainesville FL 32641-9718,29.63383,-82.32041
,330 NW Santa Fe Blvd High Springs FL 32643,29.83426,-82.59739
,5201 NW 34th Blvd Gainesville FL 32605,29.70117,-82.36627
,5514 NW 23rd Ave Gainesville FL 32606-6428,29.67478,-82.49568
,2900 SW 13th St Gainesville FL 32608,29.62374,-82.34017
,3570 NW 16th Blvd Gainesville FL 32605-3603,29.66899,-82.37631
,401 NW 6th St Gainesville FL 32601,29.65472,-82.33056
,1001 NW 34th St Gainesville FL 32605-5000,29.66104,-82.37134
,516 NE 2nd Ave Gainesville FL 32601-5435,29.65361,-82.32064
,1717 SE 15th St Gainesville FL 32602-0000,29.63391,-82.30533
,5100 SW 91st Ter Gainesville FL 32608-8143,29.60701,-82.43875
,701 SE 43rd St Gainesville FL 32641-7665,29.64484,-82.27133
,655 Reitz Union Dr Gainesville FL 32611-0000,29.64651,-82.34801
,4039 Newberry Rd Gainesville FL 32607-2342,29.65413,-82.38651
,2100 NE 39th Ave Gainesville FL 32609,29.68947,-82.29674
,5709 NE 78th Pl Fairbanks FL 32609-1301,29.72523,-82.25753
,2400 SW Williston Rd Gainesville FL 32643-0000,29.61319,-82.35826
,1911 SW 34th St Gainesville FL 32614-7100,29.60303,-82.3711
,4225 NW 34th St Gainesville FL 32605-1422,29.69407,-82.3711
,5701 NW 34th St Gainesville FL 32653-1776,29.70764,-82.35484
,1714 SW 34th St Gainesville FL 32607,29.63667,-82.37407
,4626 NW 8th Ave Gainesville FL 32605-4525,29.66005,-82.39256
,17015 Newberry Rd Newberry FL 32669-2106,29.65366,-82.52412
,3020 SW 75th St Gainesville FL 32608-0000,29.62587,-82.4236
,9325 Newberry Rd Gainesville FL 32607-0000,29.65933,-82.44125
,3201 Hull Rd Gainesville FL 32611-2750,29.63526,-82.36931
,4000 NW 53rd Ave Gainesville FL 32653-4405,29.70653,-82.38248
,10000 Newberry Rd Gainesville FL 32606-5544,29.66138,-82.44887
,2022 SW 122nd St Gainesville FL 32607-1024,29.63373,-82.4726
,7340 SW 41st Pl Gainesville FL 32606-3903,29.61762,-82.42054
,14105 NW 39th Ave Gainesville FL 32606,29.68835,-82.49431
,1521 NW 34th St Gainesville FL 32605-5033,29.66615,-82.37086
,5916 NW 39th Ave Gainesville FL 32606-5863,29.68991,-82.406
,15818 NW 140th St Alachua FL 32615,29.80043,-82.49466
,3215 Hull Rd Gainesville FL 32611-2700,29.63591,-82.3704
,5135 NW 21st St Gainesville FL 32653,29.7029,-82.3511
,1001 NW 98th St Gainesville FL 32606-5503,29.66236,-82.4458
,2640 NW 39th Ave Gainesville FL 32605,29.69072,-82.36208
,8100 SW Archer Rd Gainesville FL 32608-5517,29.59573,-82.42868
,16916 NW US Highway 441 High Springs FL 32643-8103,29.80899,-82.55604
,3145 NW 43rd st Gainesville FL 32606,29.68193,-82.38785
,8001 NW 23rd Ave Gainesville FL 32606-6236,29.67337,-82.42789
,12787 NW US HWY 441 Alachua FL 32615,29.77284,-82.43379
,515 N Main St Gainesville FL 32601,29.65643,-82.32456
,14370 Kennard St Waldo FL 32694-0216,29.78723,-82.17271
,20613 N. SR 121 Lacrosse FL 32658-0000,29.84454,-82.40448
,15400 Peggy Rd Alachua FL 32615,29.78193,-82.50754
