Unnamed: 0,name,address,lat,lon
1,,24648 Ann St. FL 32102-3125,29.16137,-81.53129
2,,42226 SR 19 FL 32702-9656,28.96461,-81.64904
3,,24954 CR 42 FL 32767-9422,28.98274,-81.54223
4,,29245 SR 44 FL 32736-8113,28.88896,-81.47135
5,,24125 SR 46 FL 32776,28.80841,-81.55754
6,,601 Northshore Dr. FL 32726-2961,28.85858,-81.68628
7,,1 S Central Ave. FL 32784-9549,28.92639,-81.66878
8,,13229 CR 44 FL 32735-9654,28.88335,-81.73639
9,,36033 Emeralda Ave. FL 34788-2547,28.87458,-81.78349
10,,109 E. Dixie Ave. FL 34748-6372,28.80638,-81.87455
11,,237 W Guava St. FL 32159-3735,28.91827,-81.92613
12,,27150 Haywood Worm Farm Rd FL 34762-3232,28.74353,-81.88588
13,,5640 CR 48 FL 34762,28.75113,-81.86113
14,,121 N Sunset Ave. FL 34753-9702,28.5796,-81.88795
15,,691 W Montrose St. FL 34711-2119,28.55495,-81.76658
16,,17436 Division St. FL 34756,28.60027,-81.67329
17,,25019 CR 561 FL 34705-9513,28.71093,-81.73376
18,,16024 CR 448 FL 32778-9796,28.74616,-81.69088
19,,610 N. Barrow FL 32778-2610,28.80751,-81.73206
20,,411 S Tremain St. FL 32757-6056,28.79271,-81.64302
21,,525 N. Georgia Ave. FL 34737,28.71651,-81.77882
22,,800 N. US Hwy 27 FL 34715-6821,28.58861,-81.75298
23,,243 S Lake Ave. FL 34736-2539,28.55944,-81.85666
24,,15303 Ferndale Community Rd. FL 34729,28.6238,-81.70127
25,,604 W Berckman St. FL 34731-3241,28.85822,-81.91382
26,,300 N 3rd St. FL 34748-5108,28.81291,-81.87626
27,,2005 Johns Ave. FL 34748-4223,28.82099,-81.89549
28,,1703 Lewis Rd. FL 34748-9609,28.83725,-81.92505
29,,1512 W SR 44 FL 34748-8705,28.81133,-81.92845
30,,10200 Morningside Dr. FL 34788-3685,28.83661,-81.78768
31,,18440 US Hwy 441 FL 32757-6707,28.82341,-81.65239
32,,19650 State Road 44 FL 32736-2103,28.85058,-81.63121
33,,16311 Whistling Pines Rd. FL 32784,28.8988,-81.68572
34,,33110 CR 473 FL 34788-4258,28.83049,-81.77292
35,,3601 W Old Hwy 441 FL 32757-5300,28.80641,-81.68085
36,,100 Hawthorne Blvd. FL 34748-8639,28.75804,-81.87781
37,,2500 S. US Hwy 27 FL 34711-6820,28.53418,-81.73802
38,,201 E Main St. FL 32778-3807,28.80245,-81.72669
39,,1050 Boyd Dr. FL 32757-4551,28.80511,-81.68025
